Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Huntington disease	7/306	0.47285144022667075	0.8002197714860931	0	0	1.0822566027445601	0.810582078085693	HIP1;PSMB3;GNAQ;ULK2;POLR2H;AP2A2;MAP3K5
Pentose phosphate pathway	1/30	0.4744493606761196	0.8002197714860931	0	0	1.5934621341811364	1.1880859856180082	ALDOC
Metabolism of xenobiotics by cytochrome P450	2/76	0.4811503047752631	0.8002197714860931	0	0	1.2490073011400025	0.9137432329482595	GSTM3;CYP1B1
Pertussis	2/76	0.4811503047752631	0.8002197714860931	0	0	1.2490073011400025	0.9137432329482595	IRF3;CXCL5
Galactose metabolism	1/31	0.4856077472634058	0.8002197714860931	0	0	1.54026792750197	1.112618829983172	HKDC1
RNA polymerase	1/31	0.4856077472634058	0.8002197714860931	0	0	1.54026792750197	1.112618829983172	POLR2H
Bacterial invasion of epithelial cells	2/77	0.4880128151865947	0.8002197714860931	0	0	1.2322906793048973	0.8840621083159943	SEPTIN1;DOCK1
Synaptic vesicle cycle	2/78	0.4948183504374161	0.8063706451572706	0	0	1.2160139685707159	0.855544323723962	NSF;AP2A2
Base excision repair	1/33	0.5072204165283611	0.8215103678741554	0	0	1.4438534278959811	0.980101601435063	POLE
Lysosome	3/128	0.5121154986200039	0.8233056042994265	0	0	1.1088456057007126	0.742045130167925	CTSL;IDUA;CTSB
Oocyte meiosis	3/129	0.5173386295468064	0.8233056042994265	0	0	1.0999886890623232	0.7249559378170147	CDK2;PKMYT1;CPEB4
Propanoate metabolism	1/34	0.517684584521609	0.8233056042994265	0	0	1.4000286553478043	0.9217636516927553	LDHB
Dopaminergic synapse	3/132	0.5328253180924086	0.8239311037771344	0	0	1.074241838369331	0.6763014556073819	ATF6B;GNAQ;GNB4
DNA replication	1/36	0.5379525238098228	0.8239311037771344	0	0	1.3198919284025667	0.8183131555496439	POLE
Starch and sucrose metabolism	1/36	0.5379525238098228	0.8239311037771344	0	0	1.3198919284025667	0.8183131555496439	HKDC1
Tyrosine metabolism	1/36	0.5379525238098228	0.8239311037771344	0	0	1.3198919284025667	0.8183131555496439	MIF
Insulin secretion	2/86	0.5471416571888036	0.8239311037771344	0	0	1.0997517490408486	0.6632025857619754	ATF6B;GNAQ
African trypanosomiasis	1/37	0.547765568169242	0.8239311037771344	0	0	1.2831625952193328	0.7723456759418039	GNAQ
Alanine, aspartate and glutamate metabolism	1/37	0.547765568169242	0.8239311037771344	0	0	1.2831625952193328	0.7723456759418039	GPT2
Apelin signaling pathway	3/137	0.5580023554880041	0.8239311037771344	0	0	1.0338922962385224	0.6031645930223606	NOTCH3;GNAQ;GNB4
Estrogen signaling pathway	3/137	0.5580023554880041	0.8239311037771344	0	0	1.0338922962385224	0.6031645930223606	GABBR1;ATF6B;GNAQ
Various types of N-glycan biosynthesis	1/39	0.5667722603223996	0.8239311037771344	0	0	1.2155032972502178	0.6901599925900372	ALG14
Fluid shear stress and atherosclerosis	3/139	0.5678426702803647	0.8239311037771344	0	0	1.018583205253598	0.5764273257515341	GSTM3;CTSL;MAP3K5
Glycine, serine and threonine metabolism	1/40	0.5759746067986985	0.8239311037771344	0	0	1.18427592895678	0.6533552060540595	ALAS2
Bladder cancer	1/41	0.5849819334588003	0.8239311037771344	0	0	1.154609929078014	0.6190721880506573	DAPK1
Ferroptosis	1/41	0.5849819334588003	0.8239311037771344	0	0	1.154609929078014	0.6190721880506573	SLC7A11
GnRH signaling pathway	2/93	0.5897238405312628	0.8239311037771344	0	0	1.014790896307484	0.5359120044822901	PLA2G4B;GNAQ
Salivary secretion	2/93	0.5897238405312628	0.8239311037771344	0	0	1.014790896307484	0.5359120044822901	GNAQ;SLC4A2
Tryptophan metabolism	1/42	0.5937983635317077	0.8239311037771344	0	0	1.126391051144554	0.5870924440336799	CYP1B1
IL-17 signaling pathway	2/94	0.5955586220457206	0.8239311037771344	0	0	1.0037090459509581	0.520177686600057	LCN2;CXCL5
TGF-beta signaling pathway	2/94	0.5955586220457206	0.8239311037771344	0	0	1.0037090459509581	0.520177686600057	SMAD1;CDKN2B
Porphyrin and chlorophyll metabolism	1/43	0.6024279335854577	0.8239311037771344	0	0	1.0995159293031633	0.5572206355364543	ALAS2
Prostate cancer	2/97	0.6126893284368669	0.8239311037771344	0	0	0.9718633075579945	0.4761131876731703	PDPK1;CDK2
Gastric cancer	3/149	0.6149730412474573	0.8239311037771344	0	0	0.948329157583054	0.4610556802321341	RXRB;CDKN2B;CDK2
Choline metabolism in cancer	2/98	0.6182751493330608	0.8239311037771344	0	0	0.9616903633491312	0.46240159071481857	PDPK1;PLA2G4B
Inflammatory mediator regulation of TRP channels	2/98	0.6182751493330608	0.8239311037771344	0	0	0.9616903633491312	0.46240159071481857	GNAQ;PLA2G4B
ABC transporters	1/45	0.6191422149405776	0.8239311037771344	0	0	1.04943047496239	0.5031182554902673	ABCB6
Glycosphingolipid biosynthesis	1/45	0.6191422149405776	0.8239311037771344	0	0	1.04943047496239	0.5031182554902673	B3GNT5
Diabetic cardiomyopathy	4/203	0.6271887617633317	0.8239311037771344	0	0	0.9273510409188801	0.4326164273554013	INSR;PDK4;CD36;CPT1B
Proteasome	1/46	0.6272345803995878	0.8239311037771344	0	0	1.0260572629366955	0.47858868791890313	PSMB3
Carbohydrate digestion and absorption	1/47	0.6351553976125465	0.8239311037771344	0	0	1.0037002775208141	0.4555650920223802	HKDC1
Nucleotide excision repair	1/47	0.6351553976125465	0.8239311037771344	0	0	1.0037002775208141	0.4555650920223802	POLE
Pyruvate metabolism	1/47	0.6351553976125465	0.8239311037771344	0	0	1.0037002775208141	0.4555650920223802	LDHB
mTOR signaling pathway	3/154	0.6372021909378018	0.8239311037771344	0	0	0.9166915732016171	0.4131237986063361	PDPK1;INSR;ULK2
Amoebiasis	2/102	0.6399989328699385	0.8239311037771344	0	0	0.9230331753554503	0.4119393405175288	GNAQ;COL4A3
Non-alcoholic fatty liver disease	3/155	0.641539019976038	0.8239311037771344	0	0	0.910613826728341	0.40420806491218914	SREBF1;INSR;MAP3K5
Hepatitis C	3/157	0.6501030773290869	0.8239311037771344	0	0	0.8986951290989296	0.3870000041616487	CLDN15;IRF3;CDK2
C-type lectin receptor signaling pathway	2/104	0.6504912808102449	0.8239311037771344	0	0	0.904841557476071	0.3891066487526765	ARHGEF12;CLEC7A
Cocaine addiction	1/49	0.6504968233712418	0.8239311037771344	0	0	0.9617809298660362	0.4135839432685635	ATF6B
Ether lipid metabolism	1/49	0.6504968233712418	0.8239311037771344	0	0	0.9617809298660362	0.4135839432685635	PLA2G4B
Sphingolipid metabolism	1/49	0.6504968233712418	0.8239311037771344	0	0	0.9617809298660362	0.4135839432685635	CERS5
Cholesterol metabolism	1/50	0.6579244601931852	0.8239311037771344	0	0	0.9421045013750181	0.39442632839928443	CD36
Cysteine and methionine metabolism	1/50	0.6579244601931852	0.8239311037771344	0	0	0.9421045013750181	0.39442632839928443	LDHB
Malaria	1/50	0.6579244601931852	0.8239311037771344	0	0	0.9421045013750181	0.39442632839928443	CD36
N-Glycan biosynthesis	1/50	0.6579244601931852	0.8239311037771344	0	0	0.9421045013750181	0.39442632839928443	ALG14
Vibrio cholerae infection	1/50	0.6579244601931852	0.8239311037771344	0	0	0.9421045013750181	0.39442632839928443	TJP2
Necroptosis	3/159	0.6585206927915733	0.8239311037771344	0	0	0.8870820391010414	0.37058680199973804	RNF31;PLA2G4B;JAK3
Drug metabolism	2/108	0.6707452753874277	0.8352677014258533	0	0	0.8705177501564876	0.34765504684771903	GSTM3;CES1
Hippo signaling pathway	3/163	0.6749158940159514	0.8365154742732919	0	0	0.8647268408551069	0.33998222847577403	SMAD1;PARD6B;CCND2
Pathways of neurodegeneration	9/475	0.6802305489548037	0.8391629202059261	0	0	0.8893427788406846	0.34268466841252065	HIP1;UBA7;PSMB3;GNAQ;WDR41;SEPTIN5;PSEN2;ULK2;MAP3K5
Fanconi anemia pathway	1/54	0.6860930880971374	0.8424584895704386	0	0	0.8708238547660466	0.3280758889312735	FANCD2
Cholinergic synapse	2/113	0.694715376270017	0.8490965709966876	0	0	0.8310917552623713	0.30272770489285317	GNAQ;GNB4
Hedgehog signaling pathway	1/56	0.6992971965139354	0.8507578796298569	0	0	0.8390715667311412	0.3001186592423214	CCND2
Glutathione metabolism	1/57	0.7056899660060846	0.85459702305324	0	0	0.8240459304289092	0.2872453367650114	GSTM3
Endometrial cancer	1/58	0.7119471417945842	0.8582376503825124	0	0	0.8095475094355273	0.27504506919913063	PDPK1
VEGF signaling pathway	1/59	0.7180715932235893	0.8616859118683071	0	0	0.7955490339936415	0.2634747046747399	PLA2G4B
Mineral absorption	1/60	0.724066129068569	0.8649477740909602	0	0	0.782025083143006	0.25249443453747344	TRPM6
Glycerolipid metabolism	1/61	0.729933498738947	0.8680290255273965	0	0	0.7689519306540583	0.2420674877220854	AGPAT1
Lysine degradation	1/63	0.741297448484405	0.8696822464048559	0	0	0.744070769465416	0.22274005461331586	EHMT2
Chemical carcinogenesis	4/239	0.7489364774896492	0.8696822464048559	0	0	0.7838297872340425	0.22660606061677346	RXRB;GSTM3;ATF6B;CYP1B1
Calcium signaling pathway	4/240	0.7518347038883474	0.8696822464048559	0	0	0.7804681194511703	0.22261978035006366	CACNA1I;GNAQ;VEGFB;PLCD1
Cytokine-cytokine receptor interaction	5/295	0.7525051810942313	0.8696822464048559	0	0	0.79359723479549	0.2256573081453659	IL11RA;CD27;TNFRSF25;TNFRSF4;CXCL5
Aminoacyl-tRNA biosynthesis	1/66	0.7574550903626134	0.8696822464048559	0	0	0.7096199308965266	0.1971260515166399	VARS1
RNA transport	3/186	0.7579465580659926	0.8696822464048559	0	0	0.7551497215840505	0.20928400596957172	NUP85;SMN1;SENP2
Purine metabolism	2/129	0.7618642230775744	0.8696822464048559	0	0	0.7257902003955666	0.19740544415468297	NPR2;FHIT
Acute myeloid leukemia	1/67	0.7626140351342163	0.8696822464048559	0	0	0.6988322945769754	0.18938580724751786	FLT3
Long-term potentiation	1/67	0.7626140351342163	0.8696822464048559	0	0	0.6988322945769754	0.18938580724751786	GNAQ
Neutrophil extracellular trap formation	3/189	0.7674063782825568	0.8696822464048559	0	0	0.7428549536433989	0.19666252131678633	FCGR3B;CLEC7A;AZU1
Retinol metabolism	1/68	0.7676635013003388	0.8696822464048559	0	0	0.6883666772520377	0.18200675920012205	DHRS3
Amphetamine addiction	1/69	0.77260580671956	0.8696822464048559	0	0	0.6782088722013628	0.17496860635737735	ATF6B
Parkinson disease	4/249	0.7767721360551701	0.8696822464048559	0	0	0.7514480077745384	0.18982195329569132	UBA7;PSMB3;SEPTIN5;MAP3K5
RIG-I-like receptor signaling pathway	1/70	0.7774432202710077	0.8696822464048559	0	0	0.6683454962825915	0.16825241385844988	IRF3
Adherens junction	1/71	0.7821779629639142	0.8712868448205626	0	0	0.6587639311043566	0.1618405047937635	INSR
MicroRNAs in cancer	5/310	0.7894307536406457	0.8756710880719768	0	0	0.7539809851715639	0.1782736454054609	NOTCH3;TNXB;CCND2;CYP1B1;COMMD3-BMI1
Ubiquitin mediated proteolysis	2/140	0.8002713777068692	0.8839817728644914	0	0	0.6675595851363417	0.14873520395430742	UBA7;RHOBTB1
Arrhythmogenic right ventricular cardiomyopathy	1/77	0.808548917827274	0.8894038096100014	0	0	0.6065696155281821	0.12890459433647208	ITGA3
Proteoglycans in cancer	3/205	0.8128772379529913	0.8904547336912436	0	0	0.6834505303261917	0.14159398641151574	ARHGEF12;CTSL;PDPK1
Retrograde endocannabinoid signaling	2/148	0.8246566658079791	0.8996254536087045	0	0	0.6307212880607674	0.12159558519724972	GNAQ;GNB4
Adrenergic signaling in cardiomyocytes	2/150	0.8303205512534398	0.902076648275342	0	0	0.6221339823235558	0.11568173680856252	ATF6B;GNAQ
cAMP signaling pathway	3/216	0.8395887582823376	0.9031607719498911	0	0	0.6477869592854036	0.11326106746815592	GABBR1;ADORA1;MYL9
Taste transduction	1/86	0.8422534044654847	0.9031607719498911	0	0	0.5420942845223196	0.0930636864253427	GABBR1
Cardiac muscle contraction	1/87	0.8456120384428318	0.9031607719498911	0	0	0.5357633734674804	0.08984462887207063	SLC9A7
Gap junction	1/88	0.8488993267067232	0.9031607719498911	0	0	0.5295780005978098	0.08675264984223545	GNAQ
Neuroactive ligand-receptor interaction	5/341	0.8520204934890246	0.9031607719498911	0	0	0.6833162859415842	0.10942948096891615	P2RY13;GABBR1;CALCRL;ADORA1;GRIK4
Bile secretion	1/90	0.8552658825283059	0.9031607719498911	0	0	0.5176242462878848	0.08092686783997115	SLC4A2
Hypertrophic cardiomyopathy	1/90	0.8552658825283059	0.9031607719498911	0	0	0.5176242462878848	0.08092686783997115	ITGA3
Thermogenesis	3/232	0.8725403382240557	0.9119631404333594	0	0	0.6020288562271158	0.0820844630602155	CPT1A;CPT1B;MAP3K5
Dilated cardiomyopathy	1/96	0.872804087917755	0.9119631404333594	0	0	0.48478287918377505	0.06595187996494614	ITGA3
Phosphatidylinositol signaling system	1/97	0.8755136089751042	0.9119631404333594	0	0	0.4797084318360914	0.06377463750161685	PLCD1
Protein processing in endoplasmic reticulum	2/171	0.880539396174708	0.9119631404333594	0	0	0.5442384811688494	0.06923835106375442	ATF6B;MAP3K5
Viral protein interaction with cytokine and cytokine receptor	1/100	0.8833015152833577	0.9119631404333594	0	0	0.4651001743200325	0.05771366193310543	CXCL5
Melanogenesis	1/101	0.8857879164156369	0.9119631404333594	0	0	0.4604255319148936	0.05583936289460772	GNAQ
Amyotrophic lateral sclerosis	5/364	0.8877822995885355	0.9119631404333594	0	0	0.638773841418419	0.07603243537538391	NUP85;PSMB3;WDR41;ULK2;MAP3K5
Toll-like receptor signaling pathway	1/104	0.8929344527982428	0.9137003703051787	0	0	0.4469462232321146	0.050613129764645194	IRF3
Alcoholism	2/186	0.9075946517802523	0.9251157840540023	0	0	0.4994848547290336	0.048428762244006454	ATF6B;GNB4
Pathogenic Escherichia coli infection	2/197	0.9236733566635782	0.9378837159968639	0	0	0.47104143881395066	0.03739917346212581	ARHGEF12;CLDN15
Breast cancer	1/147	0.9576397390718959	0.9686470923945615	0	0	0.3146151105929596	0.013617683091167461	NOTCH3
Hepatocellular carcinoma	1/168	0.9730857587562961	0.9805138943193211	0	0	0.2747554536317436	0.007496170126943808	GSTM3
Prion disease	2/273	0.9806469389413757	0.9843756345267041	0	0	0.3376121438939508	0.006597880980512622	ATF6B;PSMB3
Salmonella infection	1/249	0.9953400049745005	0.9953400049745005	0	0	0.18424464272096394	8.605858424077943E-4	MYL9
