Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Longevity regulating pathway	23/102	0.020791873288575298	0.1626964084831017	0	0	1.7051008034616022	6.604184625680496	HDAC2;PRKAA1;ATF6B;EHMT2;EHMT1;TSC1;HSPA2;ATG13;MTOR;SOD1;CREB3;STK11;CREB1;SESN3;ATG101;SESN1;RB1CC1;EIF4EBP1;BAX;PPARGC1A;HRAS;ATG5;APPL1
Insulin resistance	24/108	0.021886961114472074	0.16527114255375377	0	0	1.6734131087802235	6.395557656225976	GSK3B;CPT1A;PRKAA1;PDPK1;NOS3;NR1H2;OGA;CPT1B;ACACB;MTOR;TNFRSF1A;PPP1CA;PTPA;MAPK10;RPS6KA3;CREB3;CREB1;CD36;SLC27A3;PPARGC1A;SLC27A5;PPARGC1B;SLC27A4;PCK2
Necroptosis	33/159	0.02217695842574332	0.16527114255375377	0	0	1.5349321609695055	5.846098328493638	H2AX;HSP90AB1;TRADD;VPS4A;H2AC19;PYCARD;CASP8;FTH1;SMPD1;CHMP1A;TRPM7;CAPN1;DNM1L;ZBP1;HSP90AA1;H2AC6;PLA2G4B;TNFRSF10B;TNFRSF1A;SPATA2L;MAPK10;H2AJ;TRAF5;CHMP2A;CHMP3;BAX;CHMP4A;RBCK1;CHMP6;PPIA;SQSTM1;FTL;SLC25A6
B cell receptor signaling pathway	19/81	0.022808898966121365	0.1660275668929299	0	0	1.794102302244522	6.782791261796646	LILRA6;GSK3B;MAP2K2;CD81;LILRB1;LILRB2;LILRA2;LILRB3;MALT1;LILRA5;CD79B;GRB2;RAC1;SOS1;NFKBIE;HRAS;SOS2;CD22;NFKBIB
Pentose phosphate pathway	9/30	0.023823969470507016	0.16947505555156125	0	0	2.506466784244562	9.366824491927991	TKTL1;H6PD;TALDO1;PGLS;ALDOA;TKT;FBP1;PGM1;DERA
Circadian rhythm	9/31	0.029336906160643276	0.20405448062847434	0	0	2.392396184062851	8.442548328991364	PER2;PER1;PRKAA1;CREB1;PER3;RORA;NPAS2;SKP1;RBX1
Toxoplasmosis	24/112	0.03273924374431514	0.22276920199936168	0	0	1.5969728306853437	5.460338850599436	CIITA;TGFB1;LAMA2;PDPK1;BAD;LY96;HSPA2;IRAK4;MAPK12;PIK3R5;TNFRSF1A;MAPK10;HLA-DMA;CASP8;HLA-DMB;TRAF6;ALOX5;HLA-DPB1;HLA-DOA;LDLR;BCL2L1;NFKBIB;HLA-DPA1;TLR2
Human T-cell leukemia virus 1 infection	42/219	0.03779204070905893	0.24953089542956064	0	0	1.390806422217911	4.555804461265926	ATF6B;TRRAP;IL2RG;ANAPC11;RELB;ELK4;HLA-DMA;HLA-DMB;KAT5;CDC26;E2F1;TSPO;EP300;BUB3;HLA-DOA;B2M;HRAS;HLA-DPA1;FDPS;CREBBP;SMAD4;CDKN2C;MAP3K1;MAP2K2;TGFB1;HLA-C;HLA-A;TNFRSF1A;MAPK10;KAT2B;CREB3;DLG1;CREB1;CDK4;HLA-DPB1;BAX;ATM;MAD1L1;RAN;ATR;BCL2L1;SLC25A6
Adipocytokine signaling pathway	16/69	0.038266718787919846	0.24953089542956064	0	0	1.7664891650505588	5.764362789571216	CPT1A;PRKAA1;ACSL1;TRADD;CPT1B;ACACB;MTOR;TNFRSF1A;MAPK10;POMC;STK11;CD36;NFKBIE;PPARGC1A;PCK2;NFKBIB
Amino sugar and nucleotide sugar metabolism	12/48	0.04023043288713303	0.25698215293209464	0	0	1.949765419384369	6.264852750531888	CYB5R1;HK3;GMDS;PMM1;AMDHD2;UAP1;NANS;RENBP;PGM1;HK1;GALK1;GNE
Cellular senescence	31/156	0.04434464745755797	0.27101709326145895	0	0	1.4525224602626123	4.52571612498529	LIN54;MRE11;LIN37;ITPR1;ITPR2;ITPR3;FOXM1;ZFP36L1;RRAS;EIF4EBP1;E2F1;TRPM7;CAPN1;HRAS;MAP2K2;TGFB1;HLA-C;TSC1;HLA-A;HIPK1;HIPK3;MAPK12;MTOR;PPP1CA;RAD50;CDK4;ATM;CALM3;SQSTM1;ATR;SLC25A6
Cardiac muscle contraction	19/87	0.044833986839217445	0.27101709326145895	0	0	1.6352222582081697	5.077019740327132	COX8A;UQCRB;TPM3;COX4I1;TPM1;ATP2A2;COX7A2;UQCR11;UQCR10;COX6A1;COX5B;COX6C;COX5A;UQCRH;CACNG6;COX7A2L;UQCRQ;UQCRC1;UQCRFS1
Hepatocellular carcinoma	33/168	0.04502520399231906	0.27101709326145895	0	0	1.4318426310127554	4.439475123916107	GSK3B;SMARCD2;SMARCB1;GSTP1;KEAP1;ACTB;FRAT1;FRAT2;E2F1;DPF3;HMOX1;ARID2;HRAS;SMAD4;WNT10A;PBRM1;MAP2K2;TGFB1;WNT5B;GSTO1;BAD;GAB1;BRAF;ARID1A;ARID1B;MTOR;APC;CDK4;BAX;GRB2;SOS1;SOS2;BCL2L1
Viral myocarditis	14/60	0.04811961974173081	0.28417813168229705	0	0	1.7803981897749168	5.401844350328189	LAMA2;PRF1;HLA-C;HLA-A;ACTB;HLA-DMA;CASP8;SGCD;HLA-DMB;HLA-DPB1;RAC1;HLA-DOA;EIF4G3;HLA-DPA1
Bacterial invasion of epithelial cells	17/77	0.050812117783315965	0.2945220901144055	0	0	1.6578117835855113	4.9396498326128295	SEPTIN1;ARPC1B;ARPC5L;CLTB;GAB1;FN1;CLTA;ILK;ARPC4;CBL;ACTR3B;ACTB;MAD2L2;ACTR3C;CTTN;HCLS1;RAC1
Arachidonic acid metabolism	14/61	0.054368994641037	0.3094090058662651	0	0	1.7424150507612357	5.073845090164226	CBR1;PLA2G12A;GPX1;PLA2G4B;PTGES3;PLAAT3;PTGS1;ALOX5;PRXL2B;TBXAS1;LTA4H;GGT1;PTGDS;CBR3
Cell cycle	25/124	0.05677348976920297	0.31732325531715233	0	0	1.4782305816788575	4.240579066404072	CDKN1C;YWHAE;GSK3B;HDAC2;YWHAB;ANAPC11;CDC26;E2F1;EP300;BUB3;SKP1;YWHAH;CDKN2D;CREBBP;SMAD4;TGFB1;CDKN2C;RBX1;MAD2L2;CDK7;CDK4;ATM;MCM5;MAD1L1;ATR
Retrograde endocannabinoid signaling	29/148	0.058802021912810046	0.3192210505551011	0	0	1.4268420075212405	4.043069603615725	GABRB2;NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFA11;NDUFB10;NDUFB11;NDUFA10;ITPR1;NDUFB2;ITPR2;NDUFB1;ITPR3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;ND4L;GNG11;MAPK12;MAPK10;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;NDUFS2
Epstein-Barr virus infection	38/202	0.0591527825309772	0.3192210505551011	0	0	1.3572575126513302	3.8378242968791105	HDAC2;PSMD13;TRADD;RELB;HLA-DMA;HLA-DMB;CASP8;PSMD4;PSMD3;E2F1;RAC1;HLA-DOA;B2M;HLA-DPA1;PDIA3;APAF1;ADRM1;HLA-C;ISG15;HLA-A;IRAK4;MAPK12;SEM1;MAPK10;PSMC5;PSMC3;IRF3;CDK4;PSMC1;TRAF6;TRAF5;HLA-DPB1;IRF7;BAX;CD247;NFKBIE;TLR2;NFKBIB
FoxO signaling pathway	26/131	0.062072150842891693	0.32929802057330676	0	0	1.449498184924194	4.028819104684881	PRKAA1;SETD7;GABARAP;STK11;EP300;HOMER3;HRAS;S1PR4;PCK2;CDKN2D;GABARAPL2;CREBBP;SMAD4;MAP2K2;TGFB1;HOMER2;PDPK1;BRAF;KLF2;MAPK12;MAPK10;ATM;GRB2;IL7R;SOS1;SOS2
RNA transport	35/186	0.0675632224480939	0.35245481043755655	0	0	1.3573638259355163	3.657676751404993	POP7;RBM8A;EIF4A3;NUP160;PNN;MAGOH;TPR;XPO5;EIF4EBP1;SAP18;EIF4EBP3;SEC13;EIF2B2;EIF1AY;ALYREF;PYM1;THOC3;NUP153;THOC2;MAGOHB;RANGAP1;SENP2;RPP25L;THOC6;EEF1A1;CLNS1A;EEF1A2;EIF3G;EIF3E;EIF3F;RPP25;EIF3C;EIF4G3;RAN;EIF3B
Herpes simplex virus 1 infection	85/498	0.06915572781869198	0.35446760903970187	0	0	1.2074736554922756	3.22563835238049	ZNF175;ZNF570;TRADD;ZNF808;CASP8;ZNF83;ZNF84;ZNF41;ZNF567;ZNF688;ZNF765;HLA-DOA;ZNF841;B2M;HLA-DPA1;ZNF441;PDIA3;ZNF484;ZNF440;APAF1;HLA-C;TSC1;HLA-A;IRAK4;TNFRSF1A;ZNF90;IRF3;TRAF6;ZNF439;TRAF5;ZNF714;IRF7;ZNF675;ZNF510;ZNF234;SRSF9;ZNF431;TLR2;ZNF430;ZNF793;ZNF154;ZNF275;SP100;ZNF471;CFP;ZNF8;C5;HLA-DMA;HLA-DMB;ZNF707;EIF4EBP1;ZNF426;TNFRSF14;ZNF468;ZNF621;ZNF585B;ZNF224;ZNF587;ZNF785;ZNF620;ZNF300;ZNF141;ZNF460;EIF2B2;BAD;EIF2AK1;ALYREF;EIF2AK3;PILRB;MTOR;PPP1CA;ZNF33A;BST2;ZNF37A;ZNF418;ZNF736;HLA-DPB1;ZNF778;BAX;RBAK;ZNF333;NECTIN2;BCL2L1;NECTIN1;ZNF354B
DNA replication	9/36	0.07021403118358312	0.35446760903970187	0	0	1.9487882944673067	5.176385330494117	POLE4;RNASEH2C;POLD4;RNASEH2A;RPA3;POLD2;RPA2;MCM5;DNA2
Hepatitis C	30/157	0.07269483452972483	0.3570824845797584	0	0	1.3828893150014279	3.625223525170888	YWHAE;GSK3B;CD81;YWHAB;TRADD;PPP2CA;CASP8;E2F1;HRAS;LDLR;YWHAH;MAP2K2;APAF1;BAD;EIF2AK1;EIF2AK3;BRAF;PIAS1;TNFRSF1A;CLDN5;IRF3;CDK4;PSME3;TRAF6;IRF7;BAX;GRB2;EIF3E;SOS1;SOS2
Nucleotide excision repair	11/47	0.0730136709683851	0.3570824845797584	0	0	1.7866716235796538	4.675913638978385	POLE4;POLD4;GTF2H2C_2;CDK7;RPA3;POLD2;RPA2;GTF2H1;GTF2H2;ERCC6;RBX1
RIG-I-like receptor signaling pathway	15/70	0.0791612067019016	0.38119165688761847	0	0	1.5951265229615745	4.0456698149296555	MAP3K1;TRADD;ISG15;TANK;MAPK12;MAPK10;CASP8;TKFC;IRF3;CASP10;TRAF6;IRF7;PIN1;ATG5;NFKBIB
Fanconi anemia pathway	12/54	0.0872734368605449	0.4071668220861605	0	0	1.6706390074052277	4.074202611416274	BRIP1;SLX4;CENPX;FANCM;SLX1B;RPA3;REV3L;RPA2;FANCB;FAN1;ATR;CENPS
Fatty acid degradation	10/43	0.08796779137268186	0.4071668220861605	0	0	1.7716097510265607	4.306401591280626	GCDH;HADHA;CPT1A;ECHS1;ACSL1;ECI1;ACOX3;ACADS;CPT1B;ACAT1
Collecting duct acid secretion	7/27	0.08845796773756842	0.4071668220861605	0	0	2.0456648389307746	4.961203197185455	CA2;ATP6V0A2;ATP6V0E2;ATP6V1E1;ATP6V0D1;SLC12A7;ATP6V0C
Tight junction	31/169	0.10531791954393294	0.47035869442985095	0	0	1.3146815500335527	2.9590480249806745	PRKAA1;ROCK1;ROCK2;ARPC1B;ARPC5L;CD1C;ACTR3B;ACTB;PPP2CA;STK11;ACTR3C;TUBA1A;PARD6A;RAC1;WHAMM;VASP;MAP3K1;ARPC4;MAPK10;CLDN5;MYL6;DLG1;CTTN;CDK4;HCLS1;RAPGEF2;EZR;MYL9;RAPGEF6;TUBA8;TJP2
p53 signaling pathway	15/73	0.10547978930226704	0.47035869442985095	0	0	1.512353359402773	3.401639492158723	CD82;APAF1;SIVA1;SHISA5;TNFRSF10B;BBC3;CASP8;SESN3;CDK4;SESN1;BAX;ATM;MDM4;ATR;BCL2L1
RNA degradation	16/79	0.10705289922587095	0.47035869442985095	0	0	1.4852210163313635	3.3186256353822063	DIS3;DIS3L;ENO1;TENT4A;LSM5;LSM4;PATL1;EXOSC6;EXOSC5;LSM7;EXOSC10;EXOSC4;LSM6;PAN3;XRN1;DCPS
Prostate cancer	19/97	0.10966033425293106	0.47035869442985095	0	0	1.4247401485873612	3.1491994071871314	GSK3B;CREBBP;HSP90AA1;MAP2K2;HSP90AB1;PDPK1;BAD;GSTP1;PDGFA;BRAF;MTOR;CREB3;CREB1;E2F1;EP300;GRB2;SOS1;HRAS;SOS2
Non-homologous end-joining	4/13	0.10970027058587578	0.47035869442985095	0	0	2.596675415573053	5.738661614236707	XRCC6;RAD50;MRE11;NHEJ1
Propanoate metabolism	8/34	0.11330271611637752	0.47923986681656977	0	0	1.7983702961419794	3.916296855933907	LDHB;HADHA;ECHS1;SUCLG2;ACOX3;ACACB;ACADS;ACAT1
Colorectal cancer	17/86	0.1174337195871891	0.4875623908678146	0	0	1.4408129497837052	3.086050160025336	GSK3B;SMAD4;MAP2K2;TGFB1;BAD;BRAF;MTOR;BBC3;MAPK10;APC;BAX;GRB2;RAC1;SOS1;HRAS;SOS2;APPL1
T cell receptor signaling pathway	20/104	0.11838575624905404	0.4875623908678146	0	0	1.3925907712482584	2.9715197488273546	GSK3B;MAP2K2;PDPK1;CBLB;RASGRP1;MALT1;MAPK12;MAPK10;DLG1;CDK4;GRAP2;MAP3K8;GRB2;CD247;NFKBIE;SOS1;HRAS;SOS2;LAT;NFKBIB
Endometrial cancer	12/58	0.13220164849007393	0.5373911165895212	0	0	1.5250078359378498	3.0857418504585046	GSK3B;MAP2K2;APC;PDPK1;BAD;ILK;BAX;BRAF;GRB2;SOS1;HRAS;SOS2
Chronic myeloid leukemia	15/76	0.13652030501418114	0.5478314803774191	0	0	1.4377218184890992	2.86290946420698	HDAC2;SMAD4;MAP2K2;TGFB1;BAD;BRAF;CBL;CDK4;E2F1;BAX;GRB2;SOS1;HRAS;SOS2;BCL2L1
Yersinia infection	25/137	0.1401174396495857	0.5551488431686117	0	0	1.3056496305418719	2.5659597333972903	GSK3B;ROCK1;ROCK2;ARPC1B;ARPC5L;ACTR3B;ACTB;PYCARD;RPS6KA3;ACTR3C;PIP5K1A;RAC1;GIT2;MAP2K2;FN1;ARPC4;IRAK4;MAPK12;MAPK10;IRF3;TRAF6;PKN2;PKN1;LAT;ARF6
Hepatitis B	29/162	0.14214566589664246	0.5561449178206136	0	0	1.2755940265027208	2.488560125066683	ATF6B;YWHAB;CASP8;CASP10;E2F1;EP300;HRAS;CREBBP;SMAD4;MAP2K2;TGFB1;MAP3K1;APAF1;BAD;BRAF;IRAK4;TIRAP;MAPK12;MAPK10;CREB3;CREB1;IRF3;TRAF6;IRF7;BAX;GRB2;SOS1;SOS2;TLR2
Glucagon signaling pathway	20/107	0.14578056512786436	0.5633248998150808	0	0	1.3443329970126812	2.5887185547347014	CPT1A;CREBBP;PRKAA1;ITPR1;ITPR2;PPP4R3A;ITPR3;CPT1B;PHKA2;ACACB;LDHB;CREB3;PPP4C;CREB1;PKM;EP300;CALM3;PPARGC1A;FBP1;PCK2
Leishmaniasis	15/77	0.147894209316011	0.5645230184867248	0	0	1.4144496175590289	2.7033782358844425	MARCKSL1;TGFB1;CYBA;IRAK4;MAPK12;EEF1A1;HLA-DMA;HLA-DMB;TRAF6;EEF1A2;HLA-DPB1;HLA-DOA;HLA-DPA1;TLR2;NFKBIB
Galactose metabolism	7/31	0.15739196434862798	0.5814546583910969	0	0	1.704320881882568	3.1513165741533298	HK3;GAA;AKR1B1;GLA;PGM1;HK1;GALK1
RNA polymerase	7/31	0.15739196434862798	0.5814546583910969	0	0	1.704320881882568	3.1513165741533298	POLR3GL;POLR2F;POLR3G;POLR2G;POLR2I;POLR3K;POLR2L
Neomycin, kanamycin and gentamicin biosynthesis	2/5	0.15790302224678351	0.5814546583910969	0	0	3.893716501311438	7.186921528941205	HK3;HK1
Lipid and atherosclerosis	37/215	0.16288015321477325	0.5927090923906726	0	0	1.2161695819975722	2.207032322968196	GSK3B;HSP90AB1;ROCK2;ITPR1;LY96;TANK;PYCARD;CASP8;CD14;CD36;RAC1;HRAS;LDLR;XBP1;HSP90AA1;APAF1;PDPK1;BAD;NOS3;EIF2AK3;TNFRSF10B;CYBA;HSPA2;IRAK4;TIRAP;MAPK12;TNFRSF1A;ERN1;SELP;MAPK10;IRF3;TRAF6;IRF7;BAX;CALM3;TLR2;BCL2L1
Fc gamma R-mediated phagocytosis	18/97	0.16882120813664228	0.5927090923906726	0	0	1.3321315201630286	2.369748828570431	VASP;MARCKSL1;GSN;MYO10;ARPC1B;PLA2G4B;SPHK1;ARPC5L;ARPC4;ASAP1;ACTR3B;ACTR3C;MARCKS;BIN1;PIP5K1A;RAC1;LAT;ARF6
Phosphatidylinositol signaling system	18/97	0.16882120813664228	0.5927090923906726	0	0	1.3321315201630286	2.369748828570431	MTMR2;MTMR3;ITPR1;ITPR2;ITPR3;PIK3C2A;PIK3C2B;INPP4A;INPP5B;PIKFYVE;PPIP5K1;PPIP5K2;PI4KA;PIP5K1A;CALM3;PIP4K2C;CDIPT;DGKH
Sulfur metabolism	3/10	0.1701166214811813	0.5927090923906726	0	0	2.5033734232912876	4.434152918116033	MPST;TST;SQOR
Lysosome	23/128	0.17042753455322854	0.5927090923906726	0	0	1.2809228446719831	2.266522638029093	HGSNAT;ATP6V0B;GAA;CTSZ;AP4E1;CLTB;CLTA;CTSW;MCOLN1;LIPA;CTSO;GNPTAB;AP1G2;NPC2;SMPD1;PSAP;ATP6V0A2;AP1S1;ATP6V0D1;CTSD;ATP6V0C;GLA;AP1M2
Acute myeloid leukemia	13/67	0.17301304587033264	0.5950888281034519	0	0	1.4071593915343916	2.468703941324594	CEBPA;MAP2K2;BAD;BRAF;MTOR;PER2;KIT;EIF4EBP1;GRB2;CD14;SOS1;HRAS;SOS2
Purine metabolism	23/129	0.18030230613522455	0.595592109019959	0	0	1.2687638973772155	2.173545262485495	PDE1B;GMPR2;PDE2A;AK2;NME2;NUDT2;GMPR;NME3;NTPCR;PFAS;APRT;NT5C;DGUOK;PKM;GUK1;IMPDH2;NT5M;PDE8B;PDE7A;PDE8A;ADA;ITPA;PGM1
Allograft rejection	8/38	0.18244971852771813	0.595592109019959	0	0	1.5582219174951435	2.650972810411032	HLA-DMA;HLA-DMB;PRF1;HLA-DPB1;HLA-C;HLA-A;HLA-DOA;HLA-DPA1
Proteoglycans in cancer	35/205	0.18335010256163678	0.595592109019959	0	0	1.2043049053531447	2.0429320499885146	SDC4;ITGB5;ROCK1;ROCK2;ITPR1;ITPR2;ITPR3;CBL;ACTB;RRAS;RAC1;HRAS;WNT10A;MAP2K2;TGFB1;PPP1R12A;WNT5B;PDPK1;RPS6;FN1;GAB1;BRAF;NUDT16L1;ANK1;MAPK12;MTOR;PPP1CA;CTTN;HCLS1;GRB2;EZR;PPP1R12B;SOS1;SOS2;TLR2
Vasopressin-regulated water reabsorption	9/44	0.185360350904137	0.595592109019959	0	0	1.5026455026455026	2.5326391303551974	CREB3;DYNC1LI2;CREB1;DCTN2;ARHGDIA;DYNLL1;AQP3;DYNLL2;RAB11B
Regulation of actin cytoskeleton	37/218	0.18541135376631449	0.595592109019959	0	0	1.1957997275829877	2.0151358578072602	ITGB5;ROCK1;ROCK2;ARPC1B;ITGA2B;ARPC5L;PDGFA;ACTR3B;ACTB;ARHGAP35;MYLK3;MYLK;ACTR3C;RRAS;TMSB4X;TMSB4Y;PIP5K1A;PIP4K2C;RAC1;HRAS;GSN;MAP2K2;PPP1R12A;FN1;BRAF;ARPC4;SSH2;PPP1CA;PIKFYVE;APC;ITGA10;EZR;PFN1;PPP1R12B;SOS1;MYL9;SOS2
Cysteine and methionine metabolism	10/50	0.18695377324882925	0.595592109019959	0	0	1.4609777015437393	2.449904587814142	MPST;LDHB;AHCY;TST;MDH2;ADI1;GSS;MTR;SDSL;BCAT2
Vibrio cholerae infection	10/50	0.18695377324882925	0.595592109019959	0	0	1.4609777015437393	2.449904587814142	ATP6V0B;SEC61G;ATP6V0A2;SEC61B;ATP6V1E1;ATP6V0D1;ATP6V0E2;ATP6V0C;ACTB;TJP2
Human immunodeficiency virus 1 infection	36/212	0.18838216866765473	0.595592109019959	0	0	1.1964740866610026	1.9972533352770279	TRADD;ITPR1;ITPR2;ITPR3;CASP8;AP1G2;AP1S1;ELOB;RAC1;B2M;HRAS;AP1M2;SKP1;PDIA3;MAP2K2;BAD;HLA-C;HLA-A;IRAK4;GNG11;MAPK12;MTOR;RBX1;TNFRSF1A;BST2;MAPK10;IRF3;TRAF6;TRAF5;BAX;ATM;CALM3;CD247;ATR;TLR2;BCL2L1
Fatty acid elongation	6/27	0.19314163462021974	0.6045333163612878	0	0	1.6692605099593794	2.7448176400411035	HADHA;ECHS1;TECR;ACOT2;HSD17B12;ELOVL7
Glioma	14/75	0.20002740063798657	0.6198868950464337	0	0	1.3414127306823749	2.1587367397467716	CAMK1D;MAP2K2;PDGFA;BRAF;MTOR;CDK4;E2F1;BAX;CALM3;GRB2;CAMK1;SOS1;HRAS;SOS2
Basal transcription factors	9/45	0.20365986322237273	0.6223019530682194	0	0	1.4608196159122084	2.3246081182925393	GTF2H2C_2;GTF2A2;CDK7;TAF10;GTF2H1;GTF2H2;TAF4;TAF5L;TAF1
IL-17 signaling pathway	17/94	0.2067199010899702	0.6223019530682194	0	0	1.2905107272369996	2.034348898134602	GSK3B;USP25;HSP90AA1;CEBPB;HSP90AB1;JUND;TRADD;ELAVL1;IL17RC;CXCL5;MAPK12;MAPK10;CASP8;TRAF6;TRAF5;FOSB;TAB3
Sphingolipid signaling pathway	21/119	0.20705473886755232	0.6223019530682194	0	0	1.2527302243211333	1.9727645831638365	ABCC1;MAP2K2;ROCK1;PDPK1;ROCK2;NOS3;TRADD;SPHK1;MAPK12;TNFRSF1A;PPP2CA;MAPK10;SPTLC3;SMPD1;BAX;RAC1;S1PR5;CTSD;HRAS;S1PR4;NSMAF
Human papillomavirus infection	54/331	0.21035849209347096	0.6223019530682194	0	0	1.1406131525638559	1.7781498616409757	GSK3B;ITGB5;MAML1;TRADD;ITGA2B;UBE3A;CASP8;EP300;ATP6V1E1;HRAS;ATP6V0B;MAP2K2;WNT5B;HLA-C;TSC1;HLA-A;TNFRSF1A;CREB3;CREB1;PKM;IRF3;MFNG;COL4A3;ATP6V0D1;SOS1;ATP6V0C;SOS2;NOTCH2;HDAC2;LAMA2;PPP2CA;PARD6A;ATP6V0A2;EIF4EBP1;E2F1;ATP6V0E2;BCAP31;CREBBP;WNT10A;BAD;FN1;ISG15;MTOR;DLG1;APC;CDK4;PSMC1;ITGA10;TADA3;BAX;ATM;GRB2;COL9A2;ATR
Peroxisome	15/82	0.21191355932041114	0.6223019530682194	0	0	1.3085090013848284	2.0302522438323143	PEX16;ACOT8;MVK;ACSL1;MPV17L;IDH2;PEX1;DHRS4;SOD1;PRDX5;PRDX1;PEX5;PMVK;ACOX3;PAOX
Th17 cell differentiation	19/107	0.21332507379545892	0.6223019530682194	0	0	1.2620948820621911	1.9498584800045395	SMAD4;HSP90AA1;TGFB1;HSP90AB1;RORA;AHR;IL2RG;MAPK12;MTOR;MAPK10;HLA-DMA;HLA-DMB;HLA-DPB1;CD247;HLA-DOA;NFKBIE;LAT;NFKBIB;HLA-DPA1
Vitamin B6 metabolism	2/6	0.21472399658583927	0.6223019530682194	0	0	2.920116318850496	4.4923122372230555	PDXK;PDXP
Measles	24/139	0.21894775678524675	0.6287215401264424	0	0	1.2200890247740659	1.8532202216611524	GSK3B;APAF1;BAD;EIF2AK1;TRADD;EIF2AK3;CBLB;HSPA2;IRAK4;IL2RG;BBC3;MAPK10;CASP8;IRF3;CDK4;TRAF6;CSNK2B;RACK1;IRF7;BAX;SLAMF1;BCL2L1;NFKBIB;TLR2
Osteoclast differentiation	22/127	0.22640557626420116	0.6442267760972269	0	0	1.2248084903958139	1.8193639723525794	LILRA6;JUND;TGFB1;CYBA;MITF;LILRB1;LILRB2;LILRA2;LILRB3;MAPK12;OSCAR;TNFRSF1A;LILRA5;RELB;MAPK10;TYROBP;CREB1;TRAF6;FOSB;GRB2;RAC1;SQSTM1
Transcriptional misregulation in cancer	32/192	0.23763180861915173	0.6559693362798861	0	0	1.1693743518838575	1.6804293292990733	CEBPA;CEBPB;HDAC2;CCNT2;CCNT1;KMT2A;MAX;JMJD1C;PDGFA;AFF1;ELK4;LYL1;NFKBIZ;NSD2;H3C10;CD14;H3-3A;H3-3B;KDM6A;PTCRA;CDKN2C;ASPSCR1;MITF;PBX1;ETV6;PER2;NCOR1;REL;BMP2K;BAX;ATM;BCL2L1
Notch signaling pathway	11/59	0.23783316951960032	0.6559693362798861	0	0	1.339059997712194	1.9231389801859056	PTCRA;NOTCH2;APH1A;KAT2B;ADAM17;HDAC2;CREBBP;APH1B;MAML1;MFNG;EP300
HIF-1 signaling pathway	19/109	0.23825548012194264	0.6559693362798861	0	0	1.233903035864495	1.7699249946827398	CREBBP;EGLN3;MAP2K2;EGLN2;NOS3;RPS6;ENO1;MTOR;RBX1;HK1;LDHB;HK3;MKNK2;EIF4EBP1;EP300;HMOX1;ELOB;TIMP1;ALDOA
Mismatch repair	5/23	0.23891534931599687	0.6559693362798861	0	0	1.6226217656012176	2.323019922513209	POLD4;RPA3;POLD2;RPA2;MLH3
Ferroptosis	8/41	0.24368844423705333	0.6632563743147625	0	0	1.4163160573856495	1.9996466985215313	GPX4;ACSL1;FTH1;GSS;HMOX1;SAT2;ATG5;FTL
Kaposi sarcoma-associated herpesvirus infection	32/193	0.2472550524604441	0.6671623398286121	0	0	1.1620424541568533	1.6237624463380012	GSK3B;TRADD;ITPR1;ITPR2;ITPR3;GABARAP;PIK3R5;CASP8;UBB;E2F1;EP300;RAC1;RPS27A;HRAS;GABARAPL2;CREBBP;MAP2K2;HLA-C;HLA-A;ATG14;GNG11;MAPK12;MTOR;TNFRSF1A;MAPK10;CREB1;IRF3;CDK4;IRF7;BAX;CALM3;UBA52
NF-kappa B signaling pathway	18/104	0.2557926467983602	0.6842999867340748	0	0	1.2231982144142848	1.6676939336949996	TRADD;LY96;IRAK4;TIRAP;MALT1;TNFRSF1A;RELB;TRAF6;CSNK2B;TRAF5;TAB3;ATM;CD14;ERC1;LTB;CARD14;LAT;BCL2L1
Intestinal immune network for IgA production	9/48	0.2625193413463092	0.6959107925470829	0	0	1.3482114593225705	1.8031391508811558	HLA-DMA;HLA-DMB;TGFB1;TNFRSF13B;TNFSF13;HLA-DPB1;HLA-DOA;CCR10;HLA-DPA1
Graft-versus-host disease	8/42	0.26547128252255225	0.6959107925470829	0	0	1.3745790397063864	1.8230335378689142	HLA-DMA;HLA-DMB;PRF1;HLA-DPB1;HLA-C;HLA-A;HLA-DOA;HLA-DPA1
Citrate cycle (TCA cycle)	6/30	0.26900224456573624	0.6959107925470829	0	0	1.46034600890716	1.91748623274222	MDH2;IDH2;SUCLG2;SDHC;SDHA;PCK2
Estrogen signaling pathway	23/137	0.26902621692714707	0.6959107925470829	0	0	1.179171654152611	1.548189229517349	NCOA2;HSP90AA1;MAP2K2;HSP90AB1;ATF6B;NOS3;NCOA3;ITPR1;ITPR2;ITPR3;HSPA2;OPRM1;POMC;CREB3;CREB1;CALM3;GRB2;FKBP4;SOS1;CTSD;HRAS;SOS2;FKBP5
Hematopoietic cell lineage	17/99	0.27478991513777784	0.7049937986731514	0	0	1.2114645888549669	1.5649074663874867	GP1BB;ITGA2B;CD1C;GP9;HLA-DMA;HLA-DMB;KIT;CD7;HLA-DPB1;CD9;CD59;CD14;CD36;HLA-DOA;IL7R;CD22;HLA-DPA1
